category,initial_price,final_price,drop_pct,proc_type
канцелярские товары,157587.88,127362.11,19.18,44-FZ
канцелярские товары,449967.7,419762.72,6.71,44-FZ
канцелярские товары,342623.01,309487.83,9.67,44-FZ
канцелярские товары,487049.33,459943.49,5.57,223-FZ
канцелярские товары,463253.09,406514.54,12.25,44-FZ
канцелярские товары,441301.02,375249.8,14.97,44-FZ
канцелярские товары,93783.53,71536.96,23.72,44-FZ
канцелярские товары,402106.39,379558.57,5.61,223-FZ
канцелярские товары,137068.83,119857.81,12.56,44-FZ
канцелярские товары,430003.66,388404.99,9.67,44-FZ
канцелярские товары,103788.55,87138.21,16.04,44-FZ
канцелярские товары,115347.16,104128.37,9.73,44-FZ
канцелярские товары,202240.66,178657.45,11.66,44-FZ
канцелярские товары,178817.33,161460.8,9.71,223-FZ
канцелярские товары,341361.47,306738.82,10.14,223-FZ
канцелярские товары,62094.17,55931.96,9.92,44-FZ
канцелярские товары,93391.07,80981.09,13.29,223-FZ
канцелярские товары,300302.77,267017.38,11.08,44-FZ
канцелярские товары,365629.81,341721.97,6.54,223-FZ
канцелярские товары,195671.74,159889.11,18.29,44-FZ
канцелярские товары,131087.64,115454.78,11.93,44-FZ
канцелярские товары,185289.63,163575.95,11.72,44-FZ
канцелярские товары,474692.87,388594.98,18.14,44-FZ
канцелярские товары,361278.36,329975.63,8.66,44-FZ
канцелярские товары,256025.64,238490.96,6.85,223-FZ
канцелярские товары,279434.18,263494.15,5.7,223-FZ
канцелярские товары,213120.94,172631.21,19.0,44-FZ
канцелярские товары,309679.88,281041.96,9.25,44-FZ
канцелярские товары,206007.21,185621.03,9.9,223-FZ
канцелярские товары,217794.63,199674.83,8.32,44-FZ
канцелярские товары,235169.15,220749.69,6.13,223-FZ
канцелярские товары,397899.02,361042.71,9.26,223-FZ
канцелярские товары,331131.12,296546.42,10.44,44-FZ
канцелярские товары,51226.66,42957.35,16.14,223-FZ
канцелярские товары,338033.86,295682.67,12.53,44-FZ
канцелярские товары,27875.79,22761.18,18.35,44-FZ
канцелярские товары,307580.62,280368.15,8.85,223-FZ
канцелярские товары,360581.23,337054.22,6.52,44-FZ
канцелярские товары,249716.7,228257.97,8.59,223-FZ
канцелярские товары,446866.61,360622.0,19.3,44-FZ
канцелярские товары,390318.1,336624.92,13.76,44-FZ
канцелярские товары,29858.1,24627.29,17.52,223-FZ
канцелярские товары,459147.66,395168.85,13.93,44-FZ
канцелярские товары,335450.98,302934.38,9.69,223-FZ
канцелярские товары,475269.61,417564.32,12.14,223-FZ
канцелярские товары,416131.74,393824.0,5.36,223-FZ
канцелярские товары,449118.01,412102.93,8.24,223-FZ
канцелярские товары,377129.51,360415.83,4.43,223-FZ
канцелярские товары,384077.77,370519.06,3.53,223-FZ
канцелярские товары,222736.93,205487.4,7.74,223-FZ
канцелярские товары,121074.32,115505.91,4.6,223-FZ
канцелярские товары,73495.16,54912.08,25.28,44-FZ
канцелярские товары,194602.47,167378.57,13.99,44-FZ
канцелярские товары,206761.69,185279.91,10.39,223-FZ
канцелярские товары,210808.25,191036.69,9.38,223-FZ
канцелярские товары,429082.36,356013.0,17.03,44-FZ
канцелярские товары,241104.97,214199.68,11.16,223-FZ
канцелярские товары,427456.74,395986.58,7.36,223-FZ
канцелярские товары,271419.18,250262.58,7.79,223-FZ
канцелярские товары,246673.59,239093.33,3.07,44-FZ
канцелярские товары,220738.81,195319.49,11.52,223-FZ
канцелярские товары,363469.78,330849.95,8.97,223-FZ
канцелярские товары,460173.1,401757.5,12.69,223-FZ
канцелярские товары,297986.92,274513.64,7.88,223-FZ
канцелярские товары,46553.99,44904.55,3.54,44-FZ
канцелярские товары,29890.89,24024.82,19.62,44-FZ
канцелярские товары,167039.57,158100.11,5.35,223-FZ
канцелярские товары,142737.02,129474.1,9.29,223-FZ
канцелярские товары,129874.41,118182.07,9.0,223-FZ
канцелярские товары,499954.38,437525.38,12.49,44-FZ
канцелярские товары,115989.97,96984.91,16.39,223-FZ
канцелярские товары,378345.44,313090.72,17.25,44-FZ
канцелярские товары,103683.54,88284.9,14.85,44-FZ
канцелярские товары,239412.73,209804.18,12.37,44-FZ
канцелярские товары,284164.94,245660.45,13.55,44-FZ
канцелярские товары,88055.63,73560.73,16.46,223-FZ
канцелярские товары,390006.98,334525.35,14.23,44-FZ
канцелярские товары,464799.15,391835.53,15.7,44-FZ
канцелярские товары,201343.95,185042.01,8.1,223-FZ
канцелярские товары,55441.15,48748.37,12.07,44-FZ
канцелярские товары,425895.15,396234.67,6.96,223-FZ
канцелярские товары,176865.86,158291.92,10.5,44-FZ
канцелярские товары,332453.06,289275.48,12.99,223-FZ
канцелярские товары,425539.94,361574.41,15.03,44-FZ
канцелярские товары,57241.74,48158.9,15.87,223-FZ
канцелярские товары,355117.78,329595.15,7.19,223-FZ
канцелярские товары,92187.8,88456.86,4.05,223-FZ
канцелярские товары,235112.52,216988.27,7.71,223-FZ
канцелярские товары,164540.77,150338.68,8.63,223-FZ
канцелярские товары,441407.44,368260.02,16.57,223-FZ
канцелярские товары,376485.76,356618.9,5.28,44-FZ
канцелярские товары,19206.5,17779.64,7.43,223-FZ
канцелярские товары,95010.73,83751.37,11.85,223-FZ
канцелярские товары,143430.95,122659.37,14.48,223-FZ
канцелярские товары,280116.56,262936.31,6.13,223-FZ
канцелярские товары,361436.96,319291.74,11.66,44-FZ
мебель,2784777.53,2482948.81,10.84,223-FZ
мебель,2251909.26,1890224.46,16.06,223-FZ
мебель,483405.69,401678.63,16.91,44-FZ
мебель,3326520.91,2731125.83,17.9,223-FZ
мебель,2376837.23,2247584.12,5.44,223-FZ
мебель,1772016.43,1603604.8,9.5,223-FZ
мебель,1369163.81,1225701.66,10.48,223-FZ
мебель,1591428.76,1296224.87,18.55,44-FZ
мебель,973874.05,831716.61,14.6,44-FZ
мебель,4902942.94,4580928.33,6.57,223-FZ
мебель,1495307.39,1327996.81,11.19,44-FZ
мебель,1386070.41,1115023.27,19.56,44-FZ
мебель,2775727.65,2392120.7,13.82,44-FZ
мебель,530886.48,487929.09,8.09,223-FZ
мебель,2878839.81,2660176.61,7.6,44-FZ
мебель,4828178.26,4034349.65,16.44,44-FZ
мебель,4706496.71,4636681.5,1.48,223-FZ
мебель,2468897.87,2178308.33,11.77,223-FZ
мебель,775600.49,609598.12,21.4,44-FZ
мебель,4969712.25,4944863.69,0.5,44-FZ
мебель,2799203.71,2607420.46,6.85,44-FZ
мебель,3882953.83,3116524.12,19.74,44-FZ
мебель,2263562.04,2231801.34,1.4,223-FZ
мебель,1540793.62,1326269.03,13.92,223-FZ
мебель,3055961.94,2629895.49,13.94,44-FZ
мебель,3135064.85,3119389.53,0.5,44-FZ
мебель,3308932.12,2906252.66,12.17,223-FZ
мебель,799532.42,650748.86,18.61,44-FZ
мебель,2263508.45,2102342.4,7.12,223-FZ
мебель,1454762.35,1283520.17,11.77,44-FZ
мебель,3520878.04,3403382.15,3.34,223-FZ
мебель,3943383.57,3445398.53,12.63,223-FZ
мебель,2137192.05,2024279.56,5.28,44-FZ
мебель,4136623.18,3783182.88,8.54,223-FZ
мебель,316997.44,261551.54,17.49,44-FZ
мебель,2206984.17,2115474.38,4.15,223-FZ
мебель,3449616.4,3212953.17,6.86,223-FZ
мебель,2200039.14,2189038.94,0.5,223-FZ
мебель,4449325.99,3823042.01,14.08,44-FZ
мебель,474807.9,448595.06,5.52,44-FZ
мебель,4997870.64,4378265.64,12.4,44-FZ
мебель,3820282.84,3434404.64,10.1,44-FZ
мебель,2363094.1,2222239.18,5.96,44-FZ
мебель,4984788.47,4869793.67,2.31,44-FZ
мебель,3181227.9,2915295.07,8.36,223-FZ
мебель,2053573.51,1835660.92,10.61,223-FZ
мебель,3357264.88,2912565.38,13.25,223-FZ
мебель,1455324.62,1352246.28,7.08,223-FZ
мебель,4071558.85,3853004.38,5.37,223-FZ
мебель,1276946.28,1164204.53,8.83,223-FZ
мебель,4851519.94,4460304.8,8.06,44-FZ
мебель,3295148.72,2643809.72,19.77,44-FZ
мебель,2077972.9,1822904.63,12.27,223-FZ
мебель,3134535.54,2670900.58,14.79,223-FZ
мебель,1033720.03,1028551.43,0.5,44-FZ
мебель,4406616.15,4094541.58,7.08,223-FZ
мебель,624701.9,517761.52,17.12,223-FZ
мебель,3554718.47,3078763.84,13.39,44-FZ
мебель,2763178.25,2529739.96,8.45,223-FZ
мебель,2318010.51,1993453.15,14.0,44-FZ
мебель,3245594.25,2459305.75,24.23,44-FZ
мебель,2554182.64,2046605.51,19.87,223-FZ
мебель,2089141.91,1984815.48,4.99,223-FZ
мебель,2765300.08,2458133.01,11.11,223-FZ
мебель,969239.65,931286.77,3.92,223-FZ
мебель,4322854.13,3967423.96,8.22,44-FZ
мебель,3867922.16,3356423.7,13.22,223-FZ
мебель,4106336.38,3820486.49,6.96,223-FZ
мебель,3635733.89,3131415.77,13.87,223-FZ
мебель,4328997.76,4112681.49,5.0,223-FZ
мебель,2702131.28,2512816.44,7.01,223-FZ
мебель,2287616.19,1930005.25,15.63,223-FZ
мебель,4350616.38,3737465.08,14.09,223-FZ
мебель,1183140.98,1064072.02,10.06,223-FZ
мебель,237363.55,213045.07,10.25,223-FZ
мебель,1942672.19,1887396.86,2.85,223-FZ
мебель,2486736.68,1913632.3,23.05,44-FZ
мебель,4351107.56,3836185.39,11.83,223-FZ
мебель,516564.25,458559.65,11.23,223-FZ
мебель,2061693.53,1765980.6,14.34,44-FZ
мебель,392644.68,329503.5,16.08,44-FZ
мебель,3256186.53,3037047.87,6.73,223-FZ
мебель,4264659.86,3687277.43,13.54,223-FZ
мебель,3141459.91,2927975.95,6.8,223-FZ
мебель,4364467.43,3827721.25,12.3,223-FZ
мебель,4987181.1,4442949.98,10.91,223-FZ
мебель,2181177.93,1677691.1,23.08,44-FZ
мебель,2229519.19,1766830.06,20.75,44-FZ
мебель,4519051.83,3666010.72,18.88,223-FZ
мебель,1805147.44,1570653.84,12.99,223-FZ
мебель,744937.58,712975.89,4.29,223-FZ
мебель,866518.57,751788.4,13.24,44-FZ
мебель,3055269.1,2836862.14,7.15,44-FZ
мебель,4565888.5,3858257.82,15.5,223-FZ
мебель,1176298.45,1059003.65,9.97,44-FZ
мебель,4496564.49,4088186.37,9.08,44-FZ
мебель,4508022.93,4091587.83,9.24,223-FZ
мебель,4727273.46,4352936.77,7.92,223-FZ
мебель,3201914.74,2971539.35,7.19,223-FZ
мебель,1012100.66,888602.76,12.2,223-FZ
мебель,4269610.58,3660606.19,14.26,223-FZ
мебель,2882563.41,2493920.22,13.48,223-FZ
мебель,129259.2,112622.63,12.87,223-FZ
мебель,2838326.5,2587332.64,8.84,44-FZ
мебель,4554872.43,3889932.52,14.6,44-FZ
мебель,3883190.08,3835188.26,1.24,223-FZ
мебель,3043183.69,2768424.88,9.03,44-FZ
мебель,3395267.0,2849300.77,16.08,223-FZ
мебель,3148675.56,2415343.17,23.29,44-FZ
мебель,3947280.21,3691870.51,6.47,223-FZ
мебель,2906277.55,2480116.45,14.66,44-FZ
мебель,1647061.25,1508982.87,8.38,223-FZ
мебель,894687.55,763920.39,14.62,223-FZ
мебель,2663644.82,2263991.55,15.0,223-FZ
мебель,4155753.65,3736036.09,10.1,223-FZ
мебель,4837572.7,3887705.08,19.64,223-FZ
мебель,3737865.57,3393319.3,9.22,223-FZ
мебель,720969.93,591637.66,17.94,44-FZ
мебель,4303500.17,3793835.36,11.84,44-FZ
мебель,469708.32,467359.78,0.5,223-FZ
мебель,89314.9,83693.59,6.29,223-FZ
мебель,2931109.26,2659374.88,9.27,223-FZ
мебель,559563.59,500183.02,10.61,223-FZ
мебель,4577974.43,4047045.14,11.6,223-FZ
мебель,3245308.86,2925874.26,9.84,44-FZ
мебель,3253212.44,3045516.48,6.38,223-FZ
мебель,716089.52,568381.19,20.63,44-FZ
мебель,598279.99,543734.46,9.12,223-FZ
мебель,4438551.36,3547920.66,20.07,44-FZ
мебель,2944954.92,2516281.25,14.56,223-FZ
мебель,4429360.64,4095303.14,7.54,44-FZ
мебель,4696484.27,4563756.44,2.83,223-FZ
мебель,182927.11,170385.23,6.86,223-FZ
мебель,4280141.96,3402441.54,20.51,44-FZ
мебель,4905020.04,4666427.67,4.86,44-FZ
мебель,321539.44,262654.02,18.31,223-FZ
мебель,965246.64,797826.51,17.34,223-FZ
мебель,476533.65,395023.73,17.1,223-FZ
мебель,3215688.25,2771662.61,13.81,44-FZ
мебель,1232973.11,1110706.63,9.92,223-FZ
мебель,3939150.94,3204144.51,18.66,44-FZ
мебель,2940187.76,2127067.84,27.66,44-FZ
мебель,1656226.58,1258306.59,24.03,44-FZ
мебель,1400828.73,1022189.95,27.03,44-FZ
мебель,4937885.98,4796270.31,2.87,44-FZ
мебель,3312067.06,2919007.37,11.87,44-FZ
мебель,676380.08,627401.79,7.24,44-FZ
мебель,98589.8,78223.42,20.66,223-FZ
мебель,280947.11,252322.71,10.19,223-FZ
мебель,2391704.91,2237270.5,6.46,44-FZ
мебель,2575925.03,2189745.58,14.99,223-FZ
мебель,3641670.13,2904427.0,20.24,44-FZ
мебель,2301051.76,2020512.79,12.19,223-FZ
мебель,4239546.74,3810887.84,10.11,223-FZ
мебель,3436765.53,3419581.7,0.5,223-FZ
мебель,4498348.49,3781401.0,15.94,44-FZ
мебель,3049321.17,2619370.25,14.1,223-FZ
мебель,1916903.91,1685415.4,12.08,223-FZ
мебель,2279502.78,2080408.88,8.73,223-FZ
мебель,4266907.83,3710830.89,13.03,44-FZ
мебель,2161748.31,1718182.26,20.52,44-FZ
мебель,2005676.32,1860761.23,7.23,223-FZ
мебель,1576490.78,1372424.09,12.94,44-FZ
мебель,3440368.76,2753648.17,19.96,44-FZ
мебель,354323.87,313344.72,11.57,223-FZ
мебель,3728053.07,3269393.5,12.3,44-FZ
мебель,4062611.04,3884161.4,4.39,223-FZ
мебель,3356666.06,3080024.61,8.24,223-FZ
мебель,1780918.44,1667651.12,6.36,223-FZ
мебель,4842625.15,4602886.1,4.95,44-FZ
мебель,1771198.0,1638198.92,7.51,223-FZ
мебель,1136739.45,1035498.5,8.91,223-FZ
мебель,1763567.69,1556250.01,11.76,44-FZ
мебель,2879018.02,2600850.2,9.66,223-FZ
мебель,4228872.7,3406956.05,19.44,223-FZ
мебель,3052794.68,2657737.04,12.94,44-FZ
мебель,164186.84,148934.43,9.29,223-FZ
мебель,1768096.64,1437129.0,18.72,223-FZ
мебель,4351916.28,3981054.13,8.52,44-FZ
мебель,3710025.91,3259904.67,12.13,44-FZ
мебель,476953.26,437252.73,8.32,44-FZ
мебель,1717661.99,1552872.73,9.59,223-FZ
мебель,1571954.1,1489563.19,5.24,223-FZ
мебель,4419044.08,3098352.28,29.89,44-FZ
мебель,803901.29,745509.75,7.26,44-FZ
мебель,2226702.61,2103094.66,5.55,223-FZ
мебель,2438595.29,2271735.96,6.84,223-FZ
мебель,1738960.82,1443485.0,16.99,44-FZ
мебель,1430567.42,1266212.29,11.49,44-FZ
мебель,246178.47,232876.87,5.4,223-FZ
мебель,4922539.38,4252115.57,13.62,223-FZ
мебель,3841400.65,3203823.99,16.6,44-FZ
мебель,1461446.71,1246757.57,14.69,223-FZ
мебель,894960.11,765780.99,14.43,223-FZ
мебель,2672260.09,2370796.33,11.28,223-FZ
мебель,378935.97,315582.25,16.72,223-FZ
мебель,2192373.59,1923344.64,12.27,44-FZ
мебель,2887280.62,2569864.42,10.99,223-FZ
мебель,3553304.83,3255077.61,8.39,223-FZ
мебель,4831674.46,4024202.45,16.71,44-FZ
компьютеры,8019181.88,7663795.46,4.43,44-FZ
компьютеры,908654.92,877531.89,3.43,223-FZ
компьютеры,2455865.25,2311788.46,5.87,44-FZ
компьютеры,8709128.43,8256908.83,5.19,223-FZ
компьютеры,2239073.43,2077791.41,7.2,223-FZ
компьютеры,5320130.06,4871532.33,8.43,44-FZ
компьютеры,9062049.63,8497494.4,6.23,44-FZ
компьютеры,2385600.42,2022221.33,15.23,44-FZ
компьютеры,2582003.17,2296295.51,11.07,44-FZ
компьютеры,1796146.91,1579836.89,12.04,44-FZ
компьютеры,4655612.09,4487724.38,3.61,223-FZ
компьютеры,8646541.34,8165512.68,5.56,223-FZ
компьютеры,1535045.29,1385359.28,9.75,223-FZ
компьютеры,7969406.9,7311242.78,8.26,223-FZ
компьютеры,3538863.96,3044233.55,13.98,44-FZ
компьютеры,597193.81,525524.45,12.0,44-FZ
компьютеры,795008.08,710567.64,10.62,223-FZ
компьютеры,4643235.24,4510755.5,2.85,223-FZ
компьютеры,4513845.03,3966190.86,12.13,44-FZ
компьютеры,6061908.17,5866927.04,3.22,223-FZ
компьютеры,9578491.92,9286460.45,3.05,44-FZ
компьютеры,9824384.24,8983088.92,8.56,223-FZ
компьютеры,5060353.54,4482899.82,11.41,44-FZ
компьютеры,9910130.65,9031344.81,8.87,223-FZ
компьютеры,3658062.66,3166227.97,13.45,44-FZ
компьютеры,6798610.27,6415632.74,5.63,223-FZ
компьютеры,7898592.51,7178899.67,9.11,44-FZ
компьютеры,5592893.23,5099608.43,8.82,44-FZ
компьютеры,2862945.33,2681793.62,6.33,223-FZ
компьютеры,3353619.5,3211715.38,4.23,44-FZ
компьютеры,9169962.16,8450967.57,7.84,44-FZ
компьютеры,1315648.03,1173540.22,10.8,223-FZ
компьютеры,3116531.42,2962647.06,4.94,44-FZ
компьютеры,6711060.51,5707313.88,14.96,44-FZ
компьютеры,6470867.46,6041235.85,6.64,44-FZ
компьютеры,3109394.72,2853540.85,8.23,223-FZ
компьютеры,3437071.48,3084266.67,10.26,44-FZ
компьютеры,1574803.37,1458244.68,7.4,44-FZ
компьютеры,8448951.04,7530690.04,10.87,223-FZ
компьютеры,6629434.5,5696284.65,14.08,44-FZ
компьютеры,5984547.02,5300517.62,11.43,44-FZ
компьютеры,7220194.49,6347780.5,12.08,44-FZ
компьютеры,4126260.36,3767889.34,8.69,44-FZ
компьютеры,6117636.36,5802290.72,5.15,223-FZ
компьютеры,2363009.36,2185918.21,7.49,223-FZ
компьютеры,9042624.15,7753872.47,14.25,223-FZ
компьютеры,3697374.35,2924217.2,20.91,44-FZ
компьютеры,7701302.36,7365125.73,4.37,223-FZ
компьютеры,5043979.71,4764153.67,5.55,223-FZ
компьютеры,8018554.46,7123410.79,11.16,44-FZ
компьютеры,8733829.14,7481873.17,14.33,44-FZ
компьютеры,5558771.23,5112289.57,8.03,223-FZ
компьютеры,7122667.74,6556698.28,7.95,44-FZ
компьютеры,7638274.8,6890182.52,9.79,44-FZ
компьютеры,4509712.63,4431319.64,1.74,223-FZ
компьютеры,9465740.23,8579000.79,9.37,44-FZ
компьютеры,8172531.46,6790215.8,16.91,44-FZ
компьютеры,560971.17,545752.08,2.71,223-FZ
компьютеры,2380707.4,2149476.38,9.71,223-FZ
компьютеры,3207288.21,2890836.49,9.87,44-FZ
компьютеры,8396587.59,7906561.83,5.84,44-FZ
компьютеры,411882.82,394288.27,4.27,44-FZ
компьютеры,6969837.73,6285650.18,9.82,223-FZ
компьютеры,6165022.12,5526797.8,10.35,223-FZ
компьютеры,219468.73,196452.03,10.49,44-FZ
компьютеры,1138533.0,1041113.28,8.56,223-FZ
компьютеры,2399273.06,2195575.12,8.49,223-FZ
компьютеры,656187.3,600856.84,8.43,223-FZ
компьютеры,5979488.26,5360476.45,10.35,223-FZ
компьютеры,7193886.95,6438794.9,10.5,44-FZ
компьютеры,4309511.76,4075064.98,5.44,223-FZ
компьютеры,1897519.7,1790723.89,5.63,223-FZ
компьютеры,5249141.04,5057176.22,3.66,44-FZ
компьютеры,3922823.71,3232079.85,17.61,44-FZ
компьютеры,464038.22,441075.14,4.95,223-FZ
компьютеры,3590225.95,3140629.29,12.52,44-FZ
компьютеры,3467680.86,3141788.16,9.4,44-FZ
компьютеры,1360093.61,1318154.49,3.08,223-FZ
компьютеры,5473757.04,5053647.13,7.67,223-FZ
компьютеры,9808767.28,9279169.96,5.4,223-FZ
компьютеры,6328406.4,5861307.83,7.38,223-FZ
компьютеры,398728.39,374551.13,6.06,223-FZ
компьютеры,466748.57,418368.27,10.37,44-FZ
компьютеры,5168374.38,4766360.05,7.78,223-FZ
компьютеры,2555538.24,2375687.01,7.04,223-FZ
компьютеры,8625521.15,8178995.19,5.18,223-FZ
компьютеры,8662008.82,7883761.05,8.98,44-FZ
компьютеры,4386405.29,4024235.15,8.26,223-FZ
компьютеры,7440777.82,6757441.45,9.18,223-FZ
компьютеры,4977146.17,4600433.61,7.57,44-FZ
компьютеры,3692448.86,3410133.61,7.65,223-FZ
компьютеры,7279000.8,6770394.68,6.99,44-FZ
компьютеры,4323153.31,3781793.25,12.52,44-FZ
компьютеры,3232477.94,3007962.87,6.95,223-FZ
компьютеры,3299361.46,3009990.04,8.77,44-FZ
компьютеры,1691448.38,1523682.8,9.92,223-FZ
компьютеры,3534923.43,3094567.31,12.46,223-FZ
компьютеры,6160069.28,5637226.47,8.49,223-FZ
компьютеры,2767316.94,2386726.82,13.75,223-FZ
компьютеры,6721703.37,6131339.15,8.78,44-FZ
компьютеры,3652211.97,3347882.47,8.33,223-FZ
компьютеры,1453511.3,1391376.83,4.27,44-FZ
компьютеры,376945.69,333844.55,11.43,223-FZ
компьютеры,3640641.31,3313230.04,8.99,223-FZ
компьютеры,6062795.44,5711427.35,5.8,44-FZ
компьютеры,4456074.71,4418645.85,0.84,223-FZ
компьютеры,5752000.13,5404651.8,6.04,44-FZ
компьютеры,2518628.18,2355401.16,6.48,223-FZ
компьютеры,288356.01,254072.43,11.89,44-FZ
компьютеры,2639913.47,2258549.8,14.45,44-FZ
компьютеры,7049256.98,6495855.52,7.85,223-FZ
компьютеры,2025778.06,1807860.56,10.76,223-FZ
компьютеры,8532678.12,8376847.4,1.83,44-FZ
компьютеры,9972706.17,9097281.35,8.78,223-FZ
компьютеры,6688362.71,6279694.64,6.11,223-FZ
компьютеры,8916576.87,8597783.46,3.58,223-FZ
